Project,Group,File (.java),Method/Field,Line,Warning,Source,Reason
log4j-core,Experimental,Logger,isEnabled,243,False positive,Both,Unannotated override of annotated code
log4j-core,Experimental,Logger,isEnabled,258,False positive,Both,Unannotated override of annotated code
log4j-core,Experimental,Logger,isEnabled,274,False positive,Both,Unannotated override of annotated code
log4j-core,Experimental,Logger,isEnabled,291,False positive,Both,Unannotated override of annotated code
log4j-core,Experimental,Logger,isEnabled,309,False positive,Both,Unannotated override of annotated code
log4j-core,Experimental,Logger,isEnabled,314,False positive,Both,Unannotated override of annotated code
log4j-core,Experimental,Logger,isEnabled,319,False positive,Both,Unannotated override of annotated code
log4j-core,Experimental,Logger,name,809,True positive,Both,Non-null field initialized to null
log4j-core,Experimental,LoggerContext,fileToUri,163,False positive,IDE,Null return from unannotated method
log4j-core,Experimental,LoggerContext,stop,434,False positive,IDE,Null assignment to unannotated variable
log4j-core,Experimental,MementoLogEvent,getThrowable,69,False positive,NA,Null return from unannotated method
log4j-core,Experimental,MementoLogEvent,getSource,159,False positive,NA,Null return from unannotated method
log4j-core,Experimental,MementoMessage,getThrowable,68,False positive,IDE,Null return from unannotated method
log4j-core,Experimental,MutableLogEvent,clear,126,False positive,IDE,Null assignment to unannotated variable
log4j-core,Experimental,MutableLogEvent,clear,127,False positive,IDE,Null assignment to unannotated variable
log4j-core,Experimental,MutableLogEvent,clear,128,False positive,IDE,Null assignment to unannotated variable
log4j-core,Experimental,MutableLogEvent,clear,129,False positive,IDE,Null assignment to unannotated variable
log4j-core,Experimental,MutableLogEvent,clear,130,False positive,IDE,Null assignment to unannotated variable
log4j-core,Experimental,MutableLogEvent,clear,133,False positive,IDE,Null assignment to unannotated variable
log4j-core,Experimental,MutableLogEvent,clear,138,False positive,IDE,Null assignment to unannotated variable
log4j-core,Experimental,MutableLogEvent,clear,140,False positive,IDE,Null assignment to unannotated variable
log4j-core,Experimental,MutableLogEvent,clear,141,False positive,IDE,Null assignment to unannotated variable
log4j-core,Experimental,MutableLogEvent,getParameters,256,False positive,IDE,Unannotated override of Java API
log4j-core,Experimental,ThreadContextDataInjector,getValue,83,False positive,IDE,Null return from unannotated method
